Year,Province,Age,Sex,MaritalStatus,Educations,JobType,JobAbsence,JobStatus,WorkHours,Tenure,HourlyEarn,Union,Frequency
1997,Alberta,70+,Female,Married,A.EightYears,NA,NA,NA,NA,NA,NA,NA,776
1997,Alberta,20 to 24,Female,Married,C.Grade11to13,Finance/In,NA,Full-time,40,27,6.25,Not member,548
1997,Alberta,55 to 59,Female,Married,C.Grade11to13,Retail Tra,NA,Part-time,27,240,15,Not member,502
1997,Alberta,45 to 49,Female,Separated,D.PostSecondary,NA,NA,NA,NA,NA,NA,NA,781
1997,Alberta,40 to 44,Female,Married,B.Secondary,Health Car,NA,NA,NA,NA,NA,NA,769
1997,Alberta,15 to 19,Female,Single,C.Grade11to13,Transport/,NA,Part-time,25,7,8,Not member,596
1997,Alberta,45 to 49,Female,Married,D.PostSecondary,Educationa,NA,Part-time,25,149,12.9,Union memb,915
1997,Alberta,30 to 34,Female,Married,D.PostSecondary,Health Car,NA,Full-time,40,12,22.72,Union memb,590
1997,Alberta,70+,Female,Single,C.Grade11to13,NA,NA,NA,NA,NA,NA,NA,609
1997,Alberta,40 to 44,Female,Married,D.PostSecondary,Forest/Fis,NA,Part-time,8,67,19.23,Not member,598
1997,Alberta,15 to 19,Male,Single,A.EightYears,Retail Tra,NA,Part-time,4,1,NA,NA,710
1997,Alberta,30 to 34,Male,Married,E.University,Transport/,NA,Full-time,40,6,24.04,Not member,501
1997,Alberta,55 to 59,Male,Married,C.Grade11to13,Public Adm,NA,Full-time,37.5,174,28.21,Union memb,710
1997,Alberta,25 to 29,Male,Married,C.Grade11to13,Retail Tra,NA,Full-time,40,31,NA,NA,570
1997,Alberta,35 to 39,Male,Separated,D.PostSecondary,Constructi,NA,Full-time,50,235,24.94,Union memb,575
1997,Alberta,45 to 49,Male,Married,E.University,Educationa,NA,Full-time,30,240,41.67,Union memb,681
1997,Alberta,60 to 64,Male,Separated,C.Grade11to13,Constructi,NA,Full-time,40,240,12.5,Not member,596
1997,Alberta,15 to 19,Male,Single,B.Secondary,Retail Tra,NA,Part-time,16,17,5.8,Not member,681
1997,Alberta,55 to 59,Male,Married,D.PostSecondary,Retail Tra,NA,NA,NA,NA,NA,NA,730
1997,BritishColumbia,70+,Female,Single,C.Grade11to13,NA,NA,NA,NA,NA,NA,NA,518
1997,BritishColumbia,35 to 39,Female,Married,D.PostSecondary,Prof/Scien,NA,Full-time,35,121,NA,NA,566
1997,BritishColumbia,30 to 34,Female,Single,D.PostSecondary,Health Car,NA,Full-time,30,45,18.3,Union memb,519
1997,BritishColumbia,50 to 54,Female,Married,D.PostSecondary,Finance/In,NA,Full-time,40,3,6.92,Not member,539
